time_specs,,det,det_pl,det_poss,det_poss_tf,subjects_sg,subjects_pl,subjects_pron,adverbs
In early January,,the,some,my,F,actor,actors,I,finally
In mid January,,,many,your,T,advisor,advisors,you,eventually
In late January,,,several,his,F,applicant,applicants,he,unexpectedly
In early February,,,,her,F,architect,architects,she,expectedly
In mid February,,,,our,T,assistant,assistants,we,apparently
In late February,,,,their,F,athlete,athletes,they,fortunately
In early March,,,,,F,attendant,attendants,,unfortunately
In mid March,,,,,T,aunt,aunts,,often
In late March,,,,,F,baker,bakers,,inevitably
In early April,,,,,T,barber,barbers,,naturally
In mid April,,,,,F,boy,boys,,presumably
In late April,,,,,T,brother,brothers,,originally
In early May,,,,,F,candidate,candidates,,initially
In mid May,,,,,F,captain,captains,,previously
In late May,,,,,F,cashier,cashiers,,recently
In early June,,,,,F,chairman,chairmen,,certainly
In mid June,,,,,F,chef,chefs,,definitely
In late June,,,,,F,citizen,citizens,,probably
In early July,,,,,T,classmate,classmates,,possibly
In mid July,,,,,F,clerk,clerks,,clearly
In late July,,,,,F,client,clients,,obviously
In early August,,,,,T,colleague,colleagues,,apparently
In mid August,,,,,T,companion,companions,,seemingly
In late August,,,,,T,consultant,consultants,,eventually
In early September,,,,,T,cousin,cousins,,inevitably
In mid September,,,,,T,customer,customers,,notably
In late September,,,,,F,designer,designers,,remarkably
In early October,,,,,F,detective,detectives,,surprisingly
In mid October,,,,,F,director,directors,,traditionally
In late October,,,,,T,doctor,doctors,,typically
In early November,,,,,F,driver,drivers,,usually
In mid November,,,,,T,employee,employees,,commonly
In late November,,,,,F,engineer,engineers,,occasionally
In early December,,,,,F,examiner,examiners,,rarely
In mid December,,,,,F,farmer,farmers,,seldom
In late December,,,,,T,father,fathers,,
During the weekend,,,,,F,firefighter,firefighters,,
Before the weekend,,,,,T,friend,friends,,
After the weekend,,,,,F,gardener,gardeners,,
During the night,,,,,F,girl,girls,,
Before the night,,,,,T,grandfather,grandfathers,,
After the night,,,,,T,grandmother,grandmothers,,
During the afternoon,,,,,F,guard,guards,,
Before the afternoon,,,,,T,guest,guests,,
After the afternoon,,,,,T,host,hosts,,
During the evening,,,,,T,husband,husbands,,
Before the evening,,,,,F,intern,interns,,
After the evening,,,,,T,interviewer,interviewers,,
During the morning,,,,,F,investigator,investigators,,
Before the morning,,,,,F,journalist,journalists,,
After the morning,,,,,F,judge,judges,,
During the ceremony,,,,,T,lawyer,lawyers,,
Before the ceremony,,,,,F,leader,leaders,,
After the ceremony,,,,,F,librarian,librarians,,
During the lecture,,,,,F,manager,managers,,
Before the lecture,,,,,F,mechanic,mechanics,,
After the lecture,,,,,F,member,members,,
During the conference,,,,,T,mother,mothers,,
Before the conference,,,,,F,musician,musicians,,
After the conference,,,,,T,neighbor,neighbors,,
During the celebration,,,,,F,nurse,nurses,,
Before the celebration,,,,,F,observer,observers,,
After the celebration,,,,,F,officer,officers,,
During the rehearsal,,,,,F,organizer,organizers,,
Before the rehearsal,,,,,F,participant,participants,,
After the rehearsal,,,,,T,partner,partners,,
During the vacation,,,,,F,passenger,passengers,,
Before the vacation,,,,,F,patient,patients,,
After the vacation,,,,,F,pedestrian,pedestrians,,
During the holidays,,,,,F,pilot,pilots,,
Before the holidays,,,,,F,policeman,policemen,,
After the holidays,,,,,F,president,presidents,,
During the session,,,,,T,professor,professors,,
Before the session,,,,,F,reader,readers,,
After the session,,,,,F,receptionist,receptionists,,
Before the departure,,,,,T,representative,representatives,,
After the departure,,,,,T,researcher,researchers,,
Before the arrival,,,,,T,resident,residents,,
After the arrival,,,,,T,roommate,roommates,,
Just before breakfast,,,,,F,sailor,sailors,,
Just after breakfast,,,,,F,scientist,scientists,,
Just before lunch,,,,,F,secretary,secretaries,,
Just after lunch,,,,,T,sister,sisters,,
Just before dinner,,,,,F,soldier,soldiers,,
Just after dinner,,,,,F,speaker,speakers,,
Just before supper,,,,,F,stranger,strangers,,
Just after supper,,,,,F,student,students,,
Just before brunch,,,,,T,supervisor,supervisors,,
Just after brunch,,,,,F,survivor,survivors,,
Just before dessert,,,,,T,teacher,teachers,,
Just after dessert,,,,,T,teammate,teammates,,
Just before midnight,,,,,F,technician,technicians,,
Just after midnight,,,,,F,trainee,trainees,,
Just before sunrise,,,,,F,traveler,travelers,,
Just after sunrise,,,,,T,uncle,uncles,,
Just before sunset,,,,,T,visitor,visitors,,
Just after sunset,,,,,F,volunteer,volunteers,,
Just before bedtime,,,,,T,wife,wives,,
Just after bedtime,,,,,F,witness,witnesses,,
Long before breakfast,,,,,F,worker,workers,,
Long after breakfast,,,,,,,,,
Long before lunch,,,,,,,,,
Long after lunch,,,,,,,,,
Long before dinner,,,,,,,,,
Long after dinner,,,,,,,,,
Long before supper,,,,,,,,,
Long after supper,,,,,,,,,
Long before brunch,,,,,,,,,
Long after brunch,,,,,,,,,
Long before midnight,,,,,,,,,
Long after midnight,,,,,,,,,
Long before sunrise,,,,,,,,,
Long after sunrise,,,,,,,,,
Long before sunset,,,,,,,,,
Long after sunset,,,,,,,,,
Long before bedtime,,,,,,,,,
Long after bedtime,,,,,,,,,
During that period,,,,,,,,,
After that period,,,,,,,,,
Before that period,,,,,,,,,
During that year,,,,,,,,,
Before that year,,,,,,,,,
After that year,,,,,,,,,
During the journey,,,,,,,,,
After the journey,,,,,,,,,
Before the journey ,,,,,,,,,
Long before January,,,,,,,,,
Long after January,,,,,,,,,
Long before February,,,,,,,,,
Long after February,,,,,,,,,
Long before March,,,,,,,,,
Long after March,,,,,,,,,
Long before April,,,,,,,,,
Long after April,,,,,,,,,
Long before May,,,,,,,,,
Long after May,,,,,,,,,
Long before June,,,,,,,,,
Long after June,,,,,,,,,
Long before July,,,,,,,,,
Long after July,,,,,,,,,
Long before August,,,,,,,,,
Long after August,,,,,,,,,
Long before September,,,,,,,,,
Long after September,,,,,,,,,
Long before October,,,,,,,,,
Long after October,,,,,,,,,
Long before November,,,,,,,,,
Long after November,,,,,,,,,
Long before December,,,,,,,,,
Long after December,,,,,,,,,
At the launch,,,,,,,,,
At the orientation,,,,,,,,,
At the meeting,,,,,,,,,
At the discussion,,,,,,,,,
At the conference,,,,,,,,,
At the reunion,,,,,,,,,
At the opening,,,,,,,,,
At the closing,,,,,,,,,
At the conclusion,,,,,,,,,
At the finish,,,,,,,,,
At the start,,,,,,,,,
At the outset,,,,,,,,,
At the ceremony,,,,,,,,,
At the reception,,,,,,,,,
At the station,,,,,,,,,
At the airport,,,,,,,,,
At the office,,,,,,,,,
At the hospital,,,,,,,,,
At the beginning,,,,,,,,,
At the end,,,,,,,,,
